重庆,日期,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,天气状况,风力风向(夜间/白天),最低气温/最高气温,0
重庆,2022-06-21,2022年06月21日,优,33,173,16,30,8,27,0.68,59,"阴
/阴","东南风 1-2级
                                        /东南风 1-2级","26℃
                                        /
                                        34℃",5
重庆,2022-06-22,2022年06月22日,优,30,144,15,29,8,27,0.69,53,"雷阵雨
/中雨","南风 1-2级
                                        /南风 1-2级","26℃
                                        /
                                        33℃",5
重庆,2022-06-23,2022年06月23日,优,16,16,9,14,6,21,0.57,40,"中雨
/小雨","西南风 1-2级
                                        /西南风 1-2级","24℃
                                        /
                                        30℃",5
重庆,2022-06-24,2022年06月24日,优,25,89,9,17,7,22,0.63,62,"晴
/晴","南风 1-2级
                                        /南风 1-2级","24℃
                                        /
                                        32℃",5
重庆,2022-06-25,2022年06月25日,优,34,172,13,26,8,25,0.66,77,"多云
/多云","东风 1-2级
                                        /东风 1-2级","27℃
                                        /
                                        36℃",5
重庆,2022-06-26,2022年06月26日,优,25,87,11,22,7,20,0.56,57,"多云
/大雨","南风 1-2级
                                        /南风 1-2级","25℃
                                        /
                                        36℃",5
重庆,2022-06-27,2022年06月27日,优,20,45,8,14,7,15,0.53,61,"小雨
/多云","西南风 1-2级
                                        /西南风 1-2级","23℃
                                        /
                                        29℃",5
重庆,2022-06-28,2022年06月28日,优,33,206,13,29,9,24,0.63,73,"多云
/多云","西北风 1-2级
                                        /西北风 1-2级","24℃
                                        /
                                        34℃",5
重庆,2022-06-29,2022年06月29日,良,60,324,21,44,9,29,0.69,104,"晴
/晴","南风 1-2级
                                        /南风 1-2级","25℃
                                        /
                                        36℃",5
重庆,2022-06-30,2022年06月30日,良,53,300,22,45,9,30,0.66,96,"多云
/多云","东风 1-2级
                                        /东风 1-2级","27℃
                                        /
                                        37℃",5
重庆,日期,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,天气状况,风力风向(夜间/白天),最低气温/最高气温,6
重庆,2022-05-01,2022年05月01日,优,21,34,9,17,7,14,0.50,58,"小雨
/晴","西北风 1-2级
                                        /西北风 1-2级","12℃
                                        /
                                        17℃",6
重庆,2022-05-02,2022年05月02日,优,33,86,14,29,10,20,0.53,72,"多云
/多云","西南风 1-2级
                                        /西南风 1-2级","13℃
                                        /
                                        23℃",6
重庆,2022-05-03,2022年05月03日,优,46,139,21,42,11,33,0.60,76,"多云
/多云","东风 1-2级
                                        /东风 1-2级","14℃
                                        /
                                        26℃",6
重庆,2022-05-04,2022年05月04日,良,52,148,22,47,12,40,0.69,85,"多云
/多云","北风 1-2级
                                        /北风 1-2级","16℃
                                        /
                                        30℃",6
重庆,2022-05-05,2022年05月05日,良,54,142,24,49,11,43,0.70,87,"晴
/晴","东北风 1-2级
                                        /东北风 1-2级","19℃
                                        /
                                        32℃",6
重庆,2022-05-06,2022年05月06日,良,61,213,36,64,13,48,0.81,84,"阴
/阴","东南风 1-2级
                                        /东南风 1-2级","20℃
                                        /
                                        33℃",6
重庆,2022-05-07,2022年05月07日,良,57,209,36,59,10,35,0.78,83,"多云
/多云","东风 1-2级
                                        /东风 1-2级","21℃
                                        /
                                        31℃",6
重庆,2022-05-08,2022年05月08日,优,36,90,16,30,8,19,0.62,92,"多云
/中雨","东风 1-2级
                                        /东风 1-2级","21℃
                                        /
                                        32℃",6
重庆,2022-05-09,2022年05月09日,优,24,16,13,23,7,19,0.68,59,"大雨
/小雨","东北风 1-2级
                                        /东北风 1-2级","19℃
                                        /
                                        25℃",6
重庆,2022-05-10,2022年05月10日,优,34,115,15,28,8,22,0.72,67,"多云
/阴","东北风 1-2级
                                        /东北风 1-2级","19℃
                                        /
                                        29℃",6
重庆,2022-05-11,2022年05月11日,优,22,41,10,22,8,28,0.73,43,"小雨
/阴","东北风 1-2级
                                        /东北风 1-2级","20℃
                                        /
                                        25℃",6
重庆,2022-05-12,2022年05月12日,优,26,99,9,20,8,23,0.68,52,"阴
/多云","东北风 1-2级
                                        /东北风 1-2级","19℃
                                        /
                                        28℃",6
重庆,2022-05-13,2022年05月13日,优,25,79,8,19,8,20,0.65,58,"多云
/小雨","东南风 1-2级
                                        /东南风 1-2级","18℃
                                        /
                                        30℃",6
重庆,2022-05-14,2022年05月14日,优,20,27,9,16,6,13,0.59,62,"中雨
/中雨","东北风 1-2级
                                        /东北风 1-2级","17℃
                                        /
                                        19℃",6
重庆,2022-05-15,2022年05月15日,优,19,18,8,14,6,15,0.60,55,"小雨
/多云","北风 1-2级
                                        /北风 1-2级","13℃
                                        /
                                        17℃",6
重庆,2022-05-16,2022年05月16日,优,31,97,14,27,8,21,0.61,66,"阴
/多云","南风 1-2级
                                        /南风 1-2级","14℃
                                        /
                                        23℃",6
重庆,2022-05-17,2022年05月17日,优,43,135,23,43,10,41,0.75,46,"小雨
/中雨","西北风 1-2级
                                        /西北风 1-2级","18℃
                                        /
                                        24℃",6
重庆,2022-05-18,2022年05月18日,优,26,15,15,26,7,26,0.66,43,"小雨
/中雨","东北风 1-2级
                                        /东北风 1-2级","16℃
                                        /
                                        19℃",6
重庆,2022-05-19,2022年05月19日,优,22,15,11,21,7,24,0.68,50,"阴
/阴","西南风 1-2级
                                        /西南风 1-2级","16℃
                                        /
                                        22℃",6
重庆,2022-05-20,2022年05月20日,优,38,81,18,34,8,32,0.78,56,"多云
/多云","东北风 1-2级
                                        /东北风 1-2级","18℃
                                        /
                                        25℃",6
重庆,2022-05-21,2022年05月21日,优,47,155,26,47,10,47,0.86,36,"阴
/小雨","东北风 1-2级
                                        /东北风 1-2级","20℃
                                        /
                                        24℃",6
重庆,2022-05-22,2022年05月22日,优,33,84,18,32,8,27,0.65,58,"小雨
/多云","北风 1-2级
                                        /北风 1-2级","17℃
                                        /
                                        24℃",6
重庆,2022-05-23,2022年05月23日,优,37,132,17,33,9,27,0.68,65,"多云
/多云","东风 1-2级
                                        /东风 1-2级","19℃
                                        /
                                        28℃",6
重庆,2022-05-24,2022年05月24日,优,42,170,22,42,10,38,0.75,54,"多云
/多云","东北风 1-2级
                                        /东北风 1-2级","20℃
                                        /
                                        31℃",6
重庆,2022-05-25,2022年05月25日,优,46,211,28,47,9,29,0.78,35,"多云
/大雨","北风 1-2级
                                        /北风 1-2级","23℃
                                        /
                                        31℃",6
重庆,2022-05-26,2022年05月26日,优,15,3,6,12,6,20,0.62,39,"小雨
/小雨","东风 1-2级
                                        /东风 1-2级","22℃
                                        /
                                        26℃",6
重庆,2022-05-27,2022年05月27日,优,16,7,9,15,6,26,0.71,29,"小雨
/小雨","东南风 1-2级
                                        /东南风 1-2级","20℃
                                        /
                                        23℃",6
